"","player","nationality","position","squad","age","league","goals","Season"
"318","Erick Pulgar","cl CHI","MF","Bologna",23,"Serie A",3,"201718#"
"319","Marc Bartra","es ESP","DF","Dortmund",26,"Bundesliga",2,"201718#"
"320","Antonio Santurro","it ITA","GK","Bologna",25,"Serie A",0,"201718#"
"321","Simone Verdi","it ITA","FW,MF","Bologna",25,"Serie A",10,"201718#"
"322","Diego Llorente","es ESP","DF","Real Sociedad",23,"La Liga",3,"201718#"
"323","Martin Braithwaite","dk DEN","FW","Bordeaux",26,"Ligue 1",4,"201718#"
"324","Diego Contento","de GER","DF,FW","Bordeaux",27,"Ligue 1",0,"201718#"
"325","Benoît Costil","fr FRA","GK","Bordeaux",30,"Ligue 1",0,"201718#"
"326","François Kamano","gn GUI","FW,MF","Bordeaux",21,"Ligue 1",8,"201718#"
"327","Nico Elvedi","ch SUI","DF","M'Gladbach",20,"Bundesliga",2,"201718#"
"328","Gaëtan Laborde","fr FRA","FW","Bordeaux",23,"Ligue 1",3,"201718#"
"329","Dennis Praet","be BEL","MF","Sampdoria",23,"Serie A",1,"201718#"
"330","Laurent Koscielny","fr FRA","DF","Arsenal",31,"Premier League",2,"201718#"
"331","Malcom","br BRA","FW,MF","Bordeaux",20,"Ligue 1",12,"201718#"
"332","João Mário","pt POR","MF,FW","West Ham",24,"Premier League",2,"201718#"
"333","Alexandre Mendy","gw GNB","FW,MF","Bordeaux",23,"Ligue 1",4,"201718#"
"334","Otávio","br BRA","MF","Bordeaux",23,"Ligue 1",0,"201718#"
"335","Yeray Álvarez","es ESP","DF","Athletic Club",22,"La Liga",0,"201718#"
"336","Théo Pellenard","fr FRA","DF","Bordeaux",23,"Ligue 1",0,"201718#"
"337","Maxime Poundjé","fr FRA","DF","Bordeaux",24,"Ligue 1",0,"201718#"
"338","Nicolas de Préville","fr FRA","FW","Bordeaux",26,"Ligue 1",4,"201718#"
"339","Jérôme Prior","fr FRA","GK","Bordeaux",21,"Ligue 1",0,"201718#"
"340","Youssouf Sabaly","sn SEN","DF","Bordeaux",24,"Ligue 1",0,"201718#"
"341","Giacomo Bonaventura","it ITA","MF","Milan",27,"Serie A",8,"201718#"
"342","Thomas Touré","ci CIV","MF","Bordeaux",23,"Ligue 1",0,"201718#"
"343","Matías Vecino","uy URU","MF","Inter",25,"Serie A",3,"201718#"
"344","Unai Núñez","es ESP","DF","Athletic Club",20,"La Liga",1,"201718#"
"345","Jack Wilshere","eng ENG","MF","Arsenal",25,"Premier League",1,"201718#"
"346","Benik Afobe","cd COD","FW,MF","Bournemouth",24,"Premier League",0,"201718#"
"347","Nathan Aké","nl NED","DF","Bournemouth",22,"Premier League",2,"201718#"
"348","Lewis Cook","eng ENG","MF","Bournemouth",20,"Premier League",0,"201718#"
"349","Danny Drinkwater","eng ENG","MF","Chelsea",27,"Premier League",1,"201718#"
"350","James Tarkowski","eng ENG","DF","Burnley",24,"Premier League",0,"201718#"
"351","Charlie Daniels","eng ENG","DF,MF","Bournemouth",30,"Premier League",1,"201718#"
"352","Jermain Defoe","eng ENG","FW","Bournemouth",34,"Premier League",4,"201718#"
"353","Simon Francis","eng ENG","DF","Bournemouth",32,"Premier League",0,"201718#"
"354","Ryan Fraser","sco SCO","MF,DF","Bournemouth",23,"Premier League",5,"201718#"
"355","Roberto Gagliardini","it ITA","MF","Inter",23,"Serie A",0,"201718#"
"356","Adrien Silva","pt POR","MF,FW","Leicester City",28,"Premier League",0,"201718#"
"357","Jordon Ibe","eng ENG","MF,FW","Bournemouth",21,"Premier League",2,"201718#"
"358","Joshua King","no NOR","FW,MF","Bournemouth",25,"Premier League",8,"201718#"
"359","Gary Cahill","eng ENG","DF","Chelsea",31,"Premier League",0,"201718#"
"360","Lys Mousset","fr FRA","FW,MF","Bournemouth",21,"Premier League",2,"201718#"
"361","Marc Pugh","eng ENG","MF,FW","Bournemouth",30,"Premier League",0,"201718#"
"362","Adam Smith","eng ENG","DF,MF","Bournemouth",26,"Premier League",1,"201718#"
"363","Junior Stanislas","eng ENG","MF,FW","Bournemouth",27,"Premier League",5,"201718#"
"364","Youri Tielemans","be BEL","MF","Monaco",20,"Ligue 1",0,"201718#"
"365","Callum Wilson","eng ENG","FW","Bournemouth",25,"Premier League",8,"201718#"
"366","Sam Baldock","eng ENG","FW,MF","Brighton",28,"Premier League",0,"201718#"
"367","Gaëtan Bong","cm CMR","DF","Brighton",29,"Premier League",0,"201718#"
"368","Izzy Brown","eng ENG","MF,FW","Brighton",20,"Premier League",0,"201718#"
"369","Bruno","es ESP","DF","Brighton",36,"Premier League",0,"201718#"
"370","Mamadou Sakho","fr FRA","DF","Crystal Palace",27,"Premier League",1,"201718#"
"371","Eliaquim Mangala","fr FRA","DF","Everton",26,"Premier League",0,"201718#"
"372","Djené","tg TOG","DF","Getafe",25,"La Liga",1,"201718#"
"373","Renato Sanches","pt POR","MF","Swansea City",19,"Premier League",0,"201718#"
"374","Tomer Hemed","il ISR","FW","Brighton",30,"Premier League",2,"201718#"
"375","Niklas Stark","de GER","DF,MF","Hertha BSC",22,"Bundesliga",1,"201718#"
"376","José Izquierdo","co COL","MF,FW","Brighton",25,"Premier League",5,"201718#"
"377","Manu Trigueros","es ESP","MF","Villarreal",25,"La Liga",3,"201718#"
"378","Anthony Knockaert","fr FRA","MF,FW","Brighton",25,"Premier League",3,"201718#"
"379","Jürgen Locadia","nl NED","FW,MF","Brighton",23,"Premier League",1,"201718#"
"380","Solly March","eng ENG","MF,FW","Brighton",23,"Premier League",1,"201718#"
"381","Jamie Murphy","sco SCO","MF","Brighton",27,"Premier League",0,"201718#"
"382","Glenn Murray","eng ENG","FW","Brighton",33,"Premier League",12,"201718#"
"383","Mahmoud Dahoud","de GER","MF","Dortmund",21,"Bundesliga",0,"201718#"
"384","Liam Rosenior","eng ENG","DF","Brighton",33,"Premier League",0,"201718#"
"385","Mathew Ryan","au AUS","GK","Brighton",25,"Premier League",0,"201718#"
"386","Ezequiel Schelotto","it ITA","DF","Brighton",28,"Premier League",0,"201718#"
"387","Jordan Veretout","fr FRA","MF","Fiorentina",24,"Serie A",8,"201718#"
"388","Markus Suttner","at AUT","DF","Brighton",30,"Premier League",0,"201718#"
"389","Leonardo Ulloa","ar ARG","FW","Brighton",31,"Premier League",1,"201718#"
"390","Kevin Kampl","si SVN","MF","Leverkusen",26,"Bundesliga",0,"201718#"
"391","Phil Bardsley","sco SCO","DF","Burnley",32,"Premier League",0,"201718#"
"392","Ashley Barnes","eng ENG","FW","Burnley",27,"Premier League",9,"201718#"
"393","Robbie Brady","ie IRL","MF,FW","Burnley",25,"Premier League",1,"201718#"
"394","Jack Cork","eng ENG","MF","Burnley",28,"Premier League",2,"201718#"
"395","Morgan Sanson","fr FRA","MF","Marseille",22,"Ligue 1",9,"201718#"
"396","Tom Heaton","eng ENG","GK","Burnley",31,"Premier League",0,"201718#"
"397","Kevin Kampl","si SVN","MF","RB Leipzig",26,"Bundesliga",1,"201718#"
"398","Aaron Lennon","eng ENG","MF,FW","Burnley",30,"Premier League",0,"201718#"
"399","Sven Bender","de GER","DF","Leverkusen",28,"Bundesliga",2,"201718#"
"400","Matthew Lowton","eng ENG","DF","Burnley",28,"Premier League",0,"201718#"
"401","Eliaquim Mangala","fr FRA","DF","Manchester City",26,"Premier League",0,"201718#"
"402","Nabil Bentaleb","dz ALG","MF","Schalke 04",22,"Bundesliga",4,"201718#"
"403","Nick Pope","eng ENG","GK","Burnley",25,"Premier League",0,"201718#"
"404","Jamaal Lascelles","eng ENG","DF","Newcastle Utd",23,"Premier League",3,"201718#"
"405","Charlie Taylor","eng ENG","DF","Burnley",23,"Premier League",0,"201718#"
"406","Sam Vokes","wal WAL","FW","Burnley",27,"Premier League",4,"201718#"
"407","Jonathan Walters","ie IRL","FW","Burnley",33,"Premier League",0,"201718#"
"408","Stephen Ward","ie IRL","DF","Burnley",31,"Premier League",1,"201718#"
"409","Nahki Wells","bm BER","FW","Burnley",27,"Premier League",0,"201718#"
"410","Ashley Westwood","eng ENG","MF","Burnley",27,"Premier League",0,"201718#"
"411","Chris Wood","nz NZL","FW","Burnley",25,"Premier League",10,"201718#"
"412","Enzo Crivelli","fr FRA","FW","Caen",22,"Ligue 1",2,"201718#"
"413","Malang Sarr","fr FRA","DF","Nice",18,"Ligue 1",0,"201718#"
"414","James Ward-Prowse","eng ENG","FW,MF","Southampton",22,"Premier League",3,"201718#"
"415","Joe Allen","wal WAL","MF","Stoke City",27,"Premier League",2,"201718#"
"416","Willi Orban","hu HUN","DF","RB Leipzig",24,"Bundesliga",3,"201718#"
"417","Joris Gnagnon","fr FRA","DF","Rennes",20,"Ligue 1",2,"201718#"
"418","Wesley Hoedt","nl NED","DF","Southampton",23,"Premier League",0,"201718#"
"419","Damir Ceter","co COL","FW,MF","Cagliari",19,"Serie A",0,"201718#"
"420","Luca Cigarini","it ITA","MF","Cagliari",31,"Serie A",2,"201718#"
"421","Andrea Cossu","it ITA","MF,FW","Cagliari",37,"Serie A",0,"201718#"
"422","Alessio Cragno","it ITA","GK","Cagliari",23,"Serie A",0,"201718#"
"423","Luca Crosta","it ITA","GK","Cagliari",19,"Serie A",0,"201718#"
"424","Mousa Dembélé","be BEL","MF","Tottenham",30,"Premier League",0,"201718#"
"425","Gregory van der Wiel","nl NED","DF","Cagliari",29,"Serie A",0,"201718#"
"426","Moussa Sissoko","fr FRA","MF,FW","Tottenham",27,"Premier League",1,"201718#"
"427","Paolo Faragò","it ITA","DF,MF","Cagliari",24,"Serie A",2,"201718#"
"428","Diego Farias","br BRA","FW,MF","Cagliari",27,"Serie A",1,"201718#"
"429","Niccolò Giannetti","it ITA","FW,MF","Cagliari",26,"Serie A",0,"201718#"
"430","Senna Miangue","be BEL","MF,DF","Cagliari",20,"Serie A",0,"201718#"
"431","Simone Padoin","it ITA","DF,MF","Cagliari",33,"Serie A",1,"201718#"
"432","Leonardo Pavoletti","it ITA","FW","Cagliari",28,"Serie A",11,"201718#"
"433","João Pedro","br BRA","MF,FW","Cagliari",25,"Serie A",5,"201718#"
"434","Kurt Zouma","fr FRA","DF","Stoke City",22,"Premier League",1,"201718#"
"435","Rafael","br BRA","GK","Cagliari",35,"Serie A",0,"201718#"
"436","Alfie Mawson","eng ENG","DF","Swansea City",23,"Premier League",2,"201718#"
"437","Marco Sau","it ITA","FW,MF","Cagliari",29,"Serie A",2,"201718#"
"438","Sergio Álvarez","es ESP","GK","Celta Vigo",30,"La Liga",0,"201718#"
"439","Iago Aspas","es ESP","FW","Celta Vigo",29,"La Liga",22,"201718#"
"440","Rubén Blanco","es ESP","GK","Celta Vigo",22,"La Liga",0,"201718#"
"441","Lucas Boyé","ar ARG","FW,MF","Celta Vigo",21,"La Liga",0,"201718#"
"442","Jeison Murillo","co COL","DF","Valencia",25,"La Liga",0,"201718#"
"443","Jonny Evans","nir NIR","DF","West Brom",29,"Premier League",2,"201718#"
"444","Maxi Gómez","uy URU","FW","Celta Vigo",20,"La Liga",17,"201718#"
"445","Calum Chambers","eng ENG","DF","Arsenal",22,"Premier League",0,"201718#"
"446","John Guidetti","se SWE","FW","Celta Vigo",25,"La Liga",0,"201718#"
"447","André Gomes","pt POR","MF,FW","Barcelona",24,"La Liga",0,"201718#"
"448","Andrew Hjulsager","dk DEN","DF,MF","Celta Vigo",22,"La Liga",0,"201718#"
"449","Stanislav Lobotka","sk SVK","MF","Celta Vigo",22,"La Liga",0,"201718#"
"450","Hugo Mallo","es ESP","DF","Celta Vigo",26,"La Liga",0,"201718#"
"451","Brais Méndez","es ESP","MF,FW","Celta Vigo",20,"La Liga",1,"201718#"
"452","Emre Mor","tr TUR","FW,MF","Celta Vigo",20,"La Liga",1,"201718#"
"453","Nemanja Radoja","rs SRB","MF","Celta Vigo",24,"La Liga",0,"201718#"
"454","Facundo Roncaglia","ar ARG","DF","Celta Vigo",30,"La Liga",0,"201718#"
"455","Pione Sisto","dk DEN","FW,MF","Celta Vigo",22,"La Liga",5,"201718#"
"456","Daniel Wass","dk DEN","MF,FW","Celta Vigo",28,"La Liga",4,"201718#"
"457","Marcos Alonso","es ESP","DF,MF","Chelsea",26,"Premier League",7,"201718#"
"458","Jannik Vestergaard","dk DEN","DF","M'Gladbach",24,"Bundesliga",3,"201718#"
"459","César Azpilicueta","es ESP","DF","Chelsea",27,"Premier League",2,"201718#"
"460","Tiemoué Bakayoko","fr FRA","MF","Chelsea",22,"Premier League",2,"201718#"
"461","Davy Pröpper","nl NED","MF","Brighton",25,"Premier League",0,"201718#"
"462","Michy Batshuayi","be BEL","FW","Chelsea",23,"Premier League",2,"201718#"
"463","Willy Caballero","ar ARG","GK","Chelsea",35,"Premier League",0,"201718#"
"464","Germán Pezzella","ar ARG","DF","Fiorentina",26,"Serie A",1,"201718#"
"465","Federico Fazio","ar ARG","DF","Roma",30,"Serie A",2,"201718#"
"466","Thibaut Courtois","be BEL","GK","Chelsea",25,"Premier League",0,"201718#"
"467","Ruben Loftus-Cheek","eng ENG","MF,FW","Crystal Palace",21,"Premier League",2,"201718#"
"468","Tom Davies","eng ENG","MF","Everton",19,"Premier League",2,"201718#"
"469","Olivier Giroud","fr FRA","FW","Chelsea",30,"Premier League",3,"201718#"
"470","Eden Hazard","be BEL","FW,MF","Chelsea",26,"Premier League",12,"201718#"
"471","Davy Klaassen","nl NED","MF,FW","Everton",24,"Premier League",0,"201718#"
"472","Juan Jesus","br BRA","DF","Roma",26,"Serie A",0,"201718#"
"473","Álvaro Morata","es ESP","FW","Chelsea",24,"Premier League",11,"201718#"
"474","Victor Moses","ng NGA","DF,MF","Chelsea",26,"Premier League",3,"201718#"
"475","Charly Musonda Jr.","be BEL","FW","Chelsea",20,"Premier League",0,"201718#"
"476","Pedro","es ESP","FW,MF","Chelsea",30,"Premier League",4,"201718#"
"477","Mateo Musacchio","ar ARG","DF","Milan",26,"Serie A",0,"201718#"
"478","Willian","br BRA","FW,MF","Chelsea",28,"Premier League",6,"201718#"
"479","Davide Zappacosta","it ITA","DF,MF","Chelsea",25,"Premier League",1,"201718#"
"480","Shane Duffy","ie IRL","DF","Brighton",25,"Premier League",0,"201718#"
"481","Rodrigo Bentancur","uy URU","MF","Juventus",20,"Serie A",0,"201718#"
"482","Valter Birsa","si SVN","MF,FW","Chievo",30,"Serie A",3,"201718#"
"483","Fabrizio Cacciatore","it ITA","DF","Chievo",30,"Serie A",2,"201718#"
"484","James Milner","eng ENG","MF","Liverpool",31,"Premier League",0,"201718#"
"485","Ömer Toprak","tr TUR","DF","Dortmund",28,"Bundesliga",0,"201718#"
"486","Fabio Depaoli","it ITA","MF,DF","Chievo",20,"Serie A",0,"201718#"
"487","Kevin Vogt","de GER","DF","Hoffenheim",25,"Bundesliga",0,"201718#"
"488","Luca Garritano","it ITA","MF,FW","Chievo",23,"Serie A",0,"201718#"
"489","Fabian Delph","eng ENG","DF","Manchester City",27,"Premier League",1,"201718#"
"490","Emanuele Giaccherini","it ITA","MF,FW","Chievo",32,"Serie A",3,"201718#"
"491","Massimo Gobbi","it ITA","DF","Chievo",36,"Serie A",0,"201718#"
"492","Roberto Inglese","it ITA","FW","Chievo",25,"Serie A",12,"201718#"
"493","Jonjo Shelvey","eng ENG","MF","Newcastle Utd",25,"Premier League",1,"201718#"
"494","Riccardo Meggiorini","it ITA","FW","Chievo",31,"Serie A",0,"201718#"
"495","Sergio Pellissier","it ITA","FW","Chievo",38,"Serie A",1,"201718#"
"496","Manuel Pucciarelli","it ITA","FW","Chievo",26,"Serie A",2,"201718#"
"497","Karol Linetty","pl POL","MF","Sampdoria",22,"Serie A",3,"201718#"
"498","Stefano Sorrentino","it ITA","GK","Chievo",38,"Serie A",0,"201718#"
"499","Abdou Diallo","fr FRA","DF","Mainz 05",21,"Bundesliga",2,"201718#"
"500","Lukas Klostermann","de GER","DF","RB Leipzig",21,"Bundesliga",1,"201718#"
"501","Andrea Barberis","it ITA","MF","Crotone",23,"Serie A",2,"201718#"
"502","Badou Ndiaye","sn SEN","MF","Stoke City",26,"Premier League",2,"201718#"
"503","Ante Budimir","hr CRO","FW","Crotone",26,"Serie A",6,"201718#"
"504","Jesús Vallejo","es ESP","DF","Real Madrid",20,"La Liga",0,"201718#"
"505","Ezequiel Garay","ar ARG","DF","Valencia",30,"La Liga",0,"201718#"
"506","Víctor Ruiz","es ESP","DF","Villarreal",28,"La Liga",2,"201718#"
"507","Alex Cordaz","it ITA","GK","Crotone",34,"Serie A",0,"201718#"
"508","Jakub Jankto","cz CZE","MF,FW","Udinese",21,"Serie A",4,"201718#"
"509","Moussa Diaby","fr FRA","MF","Crotone",18,"Serie A",0,"201718#"
"510","Rafael Tolói","br BRA","DF","Atalanta",26,"Serie A",1,"201718#"
"511","Davide Faraoni","it ITA","DF","Crotone",25,"Serie A",2,"201718#"
"512","Oliver Kragl","de GER","MF","Crotone",27,"Serie A",0,"201718#"
"513","Rolando Mandragora","it ITA","MF","Crotone",20,"Serie A",2,"201718#"
"514","Bruno Martella","it ITA","DF","Crotone",24,"Serie A",1,"201718#"
"515","Andrea Nalini","it ITA","FW,MF","Crotone",27,"Serie A",0,"201718#"
"516","Federico Ricci","it ITA","FW,MF","Crotone",23,"Serie A",1,"201718#"
"517","Abdoulaye Doucouré","fr FRA","MF","Watford",24,"Premier League",7,"201718#"
"518","Aristóteles Romero","ve VEN","MF","Crotone",21,"Serie A",0,"201718#"
"519","Mario Sampirisi","it ITA","DF","Crotone",24,"Serie A",0,"201718#"
"520","Adrian Stoian","ro ROU","MF,FW","Crotone",26,"Serie A",2,"201718#"
"521","Aleksandar Tonev","bg BUL","FW,MF","Crotone",27,"Serie A",0,"201718#"
"522","Marcello Trotta","it ITA","FW","Crotone",24,"Serie A",7,"201718#"
"523","Marco Tumminello","it ITA","FW","Crotone",18,"Serie A",3,"201718#"
"524","Remo Freuler","ch SUI","MF","Atalanta",25,"Serie A",5,"201718#"
"525","Patrick van Aanholt","nl NED","DF","Crystal Palace",26,"Premier League",5,"201718#"
"526","Christian Benteke","be BEL","FW","Crystal Palace",26,"Premier League",3,"201718#"
"527","Marco Benassi","it ITA","MF,FW","Fiorentina",22,"Serie A",5,"201718#"
"528","Martin Hinteregger","at AUT","DF","Augsburg",24,"Bundesliga",0,"201718#"
"529","Lewis Dunk","eng ENG","DF","Brighton",25,"Premier League",1,"201718#"
"530","Timothy Fosu-Mensah","nl NED","DF","Crystal Palace",19,"Premier League",0,"201718#"
"531","Wayne Hennessey","wal WAL","GK","Crystal Palace",30,"Premier League",0,"201718#"
"532","Sullay Kaikai","eng ENG","MF","Crystal Palace",21,"Premier League",0,"201718#"
"533","Martin Kelly","eng ENG","DF","Crystal Palace",27,"Premier League",0,"201718#"
"534","Freddie Ladapo","eng ENG","FW","Crystal Palace",24,"Premier League",0,"201718#"
"535","Kerem Demirbay","de GER","MF","Hoffenheim",24,"Bundesliga",2,"201718#"
"536","Marouane Fellaini","be BEL","MF","Manchester Utd",29,"Premier League",4,"201718#"
"537","Jason Puncheon","eng ENG","MF,FW","Crystal Palace",31,"Premier League",0,"201718#"
"538","Ben Mee","eng ENG","DF","Burnley",27,"Premier League",0,"201718#"
"539","Bakary Sako","ml MLI","FW,MF","Crystal Palace",29,"Premier League",3,"201718#"
"540","Jeffrey Schlupp","gh GHA","DF,MF","Crystal Palace",24,"Premier League",0,"201718#"
"541","Pape Souaré","sn SEN","DF","Crystal Palace",27,"Premier League",0,"201718#"
"542","Julián Speroni","ar ARG","GK","Crystal Palace",38,"Premier League",0,"201718#"
"543","Ramiro Funes Mori","ar ARG","DF,MF","Everton",26,"Premier League",0,"201718#"
"544","Andros Townsend","eng ENG","FW,MF","Crystal Palace",26,"Premier League",2,"201718#"
"545","Aaron Wan-Bissaka","eng ENG","DF","Crystal Palace",19,"Premier League",0,"201718#"
"546","Joel Ward","eng ENG","DF","Crystal Palace",27,"Premier League",0,"201718#"
"547","Wilfried Zaha","ci CIV","FW","Crystal Palace",24,"Premier League",9,"201718#"
"548","Dani Ceballos","es ESP","MF,FW","Real Madrid",20,"La Liga",2,"201718#"
"549","Benjamin Bourigeaud","fr FRA","MF,FW","Rennes",23,"Ligue 1",10,"201718#"
"550","Dylan Bahamboula","cg CGO","FW,MF","Dijon",22,"Ligue 1",0,"201718#"
"551","Éver Banega","ar ARG","MF","Sevilla",29,"La Liga",3,"201718#"
"552","Arnold Bouka Moutou","cg CGO","DF","Dijon",28,"Ligue 1",0,"201718#"
"553","Fouad Chafik","ma MAR","DF","Dijon",30,"Ligue 1",0,"201718#"
"554","Karim Rekik","nl NED","DF","Hertha BSC",22,"Bundesliga",2,"201718#"
"555","Oussama Haddadi","tn TUN","DF","Dijon",25,"Ligue 1",1,"201718#"
"556","Benjamin Jeannot","fr FRA","FW,MF","Dijon",25,"Ligue 1",4,"201718#"
"557","Terence Kongolo","nl NED","DF","Huddersfield",23,"Premier League",0,"201718#"
"558","Giorgio Chiellini","it ITA","DF","Juventus",32,"Serie A",0,"201718#"
"559","Thomas Delaney","dk DEN","MF","Werder Bremen",25,"Bundesliga",3,"201718#"
"560","Sergi Darder","es ESP","MF","Espanyol",23,"La Liga",1,"201718#"
"561","Eden Massouema","cg CGO","MF","Dijon",20,"Ligue 1",0,"201718#"
"562","Baptiste Reynet","fr FRA","GK","Dijon",26,"Ligue 1",0,"201718#"
"563","Valentin Rosier","fr FRA","DF","Dijon",20,"Ligue 1",0,"201718#"
"564","Vincent Rüfli","ch SUI","MF,FW","Dijon",29,"Ligue 1",0,"201718#"
"565","Wesley Saïd","fr FRA","FW,MF","Dijon",22,"Ligue 1",9,"201718#"
"566","Frédéric Sammaritano","fr FRA","FW,MF","Dijon",31,"Ligue 1",0,"201718#"
"567","Naïm Sliti","tn TUN","FW,MF","Dijon",25,"Ligue 1",7,"201718#"
"568","Mouctar Diakhaby","fr FRA","DF","Lyon",20,"Ligue 1",1,"201718#"
"569","Sergi Darder","es ESP","MF","Lyon",23,"Ligue 1",0,"201718#"
"570","Vincent Kompany","be BEL","DF","Manchester City",31,"Premier League",1,"201718#"
"571","Pierre-Emerick Aubameyang","ga GAB","FW","Dortmund",28,"Bundesliga",13,"201718#"
"572","Terence Kongolo","nl NED","DF","Monaco",23,"Ligue 1",0,"201718#"
"573","Michy Batshuayi","be BEL","FW","Dortmund",23,"Bundesliga",7,"201718#"
"574","Jacob Bruun Larsen","dk DEN","DF","Dortmund",18,"Bundesliga",0,"201718#"
"575","Roman Bürki","ch SUI","GK","Dortmund",26,"Bundesliga",0,"201718#"
"576","Andrés Iniesta","es ESP","MF,FW","Barcelona",33,"La Liga",1,"201718#"
"577","Godfred Donsah","gh GHA","MF","Bologna",21,"Serie A",2,"201718#"
"578","Sergio Gómez","es ESP","MF","Dortmund",16,"Bundesliga",0,"201718#"
"579","Mario Götze","de GER","MF","Dortmund",25,"Bundesliga",2,"201718#"
"580","Raphaël Guerreiro","pt POR","DF,MF","Dortmund",23,"Bundesliga",1,"201718#"
"581","Alexander Isak","se SWE","FW,MF","Dortmund",17,"Bundesliga",0,"201718#"
"582","Shinji Kagawa","jp JPN","MF","Dortmund",28,"Bundesliga",5,"201718#"
"583","Felix Passlack","de GER","DF","Dortmund",19,"Bundesliga",0,"201718#"
"584","Maximilian Philipp","de GER","FW,MF","Dortmund",23,"Bundesliga",9,"201718#"
"585","Christian Pulisic","us USA","FW","Dortmund",18,"Bundesliga",4,"201718#"
"586","Marco Reus","de GER","MF,FW","Dortmund",28,"Bundesliga",7,"201718#"
"587","Jadon Sancho","eng ENG","FW","Dortmund",17,"Bundesliga",1,"201718#"
"588","Marcel Schmelzer","de GER","DF","Dortmund",29,"Bundesliga",0,"201718#"
"589","André Schürrle","de GER","FW","Dortmund",26,"Bundesliga",1,"201718#"
"590","Jeremy Toljan","de GER","DF","Dortmund",22,"Bundesliga",1,"201718#"
"591","Diego Carlos","br BRA","DF","Nantes",24,"Ligue 1",1,"201718#"
"592","Julian Weigl","de GER","MF","Dortmund",21,"Bundesliga",1,"201718#"
"593","Andriy Yarmolenko","ua UKR","FW,MF","Dortmund",27,"Bundesliga",3,"201718#"
"594","Thiago Silva","br BRA","DF","Paris S-G",32,"Ligue 1",1,"201718#"
"595","Iván Alejo","es ESP","FW,MF","Eibar",22,"La Liga",1,"201718#"
"596","José Ángel","es ESP","DF","Eibar",27,"La Liga",0,"201718#"
"597","Gian Marco Ferrari","it ITA","DF","Sampdoria",25,"Serie A",2,"201718#"
"598","Bebé","pt POR","MF,FW","Eibar",27,"La Liga",0,"201718#"
"599","Ander Capa","es ESP","DF","Eibar",25,"La Liga",0,"201718#"
"600","Charles","br BRA","FW","Eibar",33,"La Liga",8,"201718#"
"601","Sergi Enrich","es ESP","FW","Eibar",27,"La Liga",3,"201718#"
"602","Pascal Groß","de GER","MF,FW","Brighton",26,"Premier League",7,"201718#"
"603","Jeff Hendrick","ie IRL","MF,FW","Burnley",25,"Premier League",2,"201718#"
"604","Takashi Inui","jp JPN","MF,FW","Eibar",29,"La Liga",5,"201718#"
"605","Yohan Cabaye","fr FRA","MF","Crystal Palace",31,"Premier League",0,"201718#"
"606","David Juncà","es ESP","DF","Eibar",23,"La Liga",0,"201718#"
"607","Pedro León","es ESP","FW,MF","Eibar",30,"La Liga",0,"201718#"
"608","Francesco Acerbi","it ITA","DF","Sassuolo",29,"Serie A",0,"201718#"
"609","Bruno Martins Indi","nl NED","DF","Stoke City",25,"Premier League",0,"201718#"
"610","Fabián Orellana","cl CHI","MF,FW","Eibar",31,"La Liga",3,"201718#"
"611","Rubén Peña","es ESP","DF,FW","Eibar",26,"La Liga",1,"201718#"
"612","Ryan Shawcross","eng ENG","DF","Stoke City",29,"Premier League",1,"201718#"
"613","Asier Riesgo","es ESP","GK","Eibar",33,"La Liga",0,"201718#"
"614","Florian Grillitsch","at AUT","MF","Hoffenheim",21,"Bundesliga",1,"201718#"
"615","Kevin Wimmer","at AUT","DF","Stoke City",24,"Premier League",0,"201718#"
"616","Aymen Barkok","ma MAR","MF,FW","Eint Frankfurt",19,"Bundesliga",0,"201718#"
"617","Danny Blum","de GER","FW,DF","Eint Frankfurt",26,"Bundesliga",1,"201718#"
"618","Kevin-Prince Boateng","gh GHA","MF,FW","Eint Frankfurt",30,"Bundesliga",6,"201718#"
"619","Timothy Chandler","us USA","DF,MF","Eint Frankfurt",27,"Bundesliga",2,"201718#"
"620","Danny da Costa","de GER","DF","Eint Frankfurt",24,"Bundesliga",1,"201718#"
"621","Marco Fabián","mx MEX","FW,MF","Eint Frankfurt",28,"Bundesliga",1,"201718#"
"622","Yerry Mina","co COL","DF","Barcelona",22,"La Liga",0,"201718#"
"623","Gelson Fernandes","ch SUI","MF","Eint Frankfurt",30,"Bundesliga",0,"201718#"
"624","Aaron Mooy","au AUS","MF","Huddersfield",26,"Premier League",4,"201718#"
"625","Sébastien Haller","ci CIV","FW","Eint Frankfurt",23,"Bundesliga",9,"201718#"
"626","Makoto Hasebe","jp JPN","DF,MF","Eint Frankfurt",33,"Bundesliga",0,"201718#"
"627","Branimir Hrgota","se SWE","FW,MF","Eint Frankfurt",24,"Bundesliga",0,"201718#"
"628","Daichi Kamada","jp JPN","FW,MF","Eint Frankfurt",20,"Bundesliga",0,"201718#"
"629","Omar Mascarell","es ESP","MF","Eint Frankfurt",24,"Bundesliga",1,"201718#"
"630","Alexander Meier","de GER","FW","Eint Frankfurt",34,"Bundesliga",1,"201718#"
"631","Aïssa Mandi","dz ALG","DF","Betis",25,"La Liga",1,"201718#"
"632","Benedikt Höwedes","de GER","DF","Juventus",29,"Serie A",1,"201718#"
"633","Vicente Iborra","es ESP","MF","Leicester City",29,"Premier League",3,"201718#"
