"","player","nationality","position","squad","age","league","goals","Season"
"1795","José Alonso Lara","es ESP","FW","Sevilla",17,"La Liga",0,"201718#"
"1796","Guilherme Arana","br BRA","DF","Sevilla",20,"La Liga",0,"201718#"
"1797","Sam Field","eng ENG","MF","West Brom",19,"Premier League",1,"201718#"
"1798","Wissam Ben Yedder","fr FRA","FW","Sevilla",26,"La Liga",9,"201718#"
"1799","Lionel Carole","fr FRA","DF","Sevilla",26,"La Liga",0,"201718#"
"1800","Bruno González","es ESP","DF","Getafe",27,"La Liga",0,"201718#"
"1801","Sébastien Corchia","fr FRA","DF","Sevilla",26,"La Liga",0,"201718#"
"1802","Joaquín Correa","ar ARG","FW,MF","Sevilla",22,"La Liga",1,"201718#"
"1803","Sergio Escudero","es ESP","DF","Sevilla",27,"La Liga",0,"201718#"
"1804","Carlos Fernández","es ESP","FW","Sevilla",21,"La Liga",1,"201718#"
"1805","Ganso","br BRA","MF","Sevilla",27,"La Liga",2,"201718#"
"1806","Johannes Geis","de GER","DF,MF","Sevilla",23,"La Liga",0,"201718#"
"1807","Nicolas Viola","it ITA","MF","Benevento",27,"Serie A",2,"201718#"
"1808","Borja Lasso","es ESP","MF","Sevilla",23,"La Liga",0,"201718#"
"1809","Miguel Layún","mx MEX","DF","Sevilla",29,"La Liga",2,"201718#"
"1810","Andrea Barzagli","it ITA","DF","Juventus",36,"Serie A",0,"201718#"
"1811","Dominic Maroh","si SVN","DF","Köln",30,"Bundesliga",0,"201718#"
"1812","Alessandro Deiola","it ITA","MF","Cagliari",21,"Serie A",0,"201718#"
"1813","Walter Montoya","ar ARG","FW","Sevilla",24,"La Liga",0,"201718#"
"1814","Luis Muriel","co COL","FW","Sevilla",26,"La Liga",7,"201718#"
"1815","Jesús Navas","es ESP","FW,DF","Sevilla",31,"La Liga",1,"201718#"
"1816","Nolito","es ESP","FW,MF","Sevilla",30,"La Liga",4,"201718#"
"1817","Steven Nzonzi","fr FRA","MF","Sevilla",28,"La Liga",1,"201718#"
"1818","Maurício","br BRA","DF","Lazio",28,"Serie A",0,"201718#"
"1819","Guido Pizarro","ar ARG","MF","Sevilla",27,"La Liga",1,"201718#"
"1820","Sandro Ramírez","es ESP","FW,MF","Sevilla",22,"La Liga",0,"201718#"
"1821","Sergio Rico","es ESP","GK","Sevilla",23,"La Liga",0,"201718#"
"1822","Pablo Sarabia","es ESP","FW,MF","Sevilla",25,"La Liga",6,"201718#"
"1823","David Soria","es ESP","GK","Sevilla",24,"La Liga",0,"201718#"
"1824","Franco Vázquez","ar ARG","MF","Sevilla",28,"La Liga",4,"201718#"
"1825","Charlie Austin","eng ENG","FW","Southampton",28,"Premier League",7,"201718#"
"1826","Yohan Benalouane","tn TUN","DF","Leicester City",30,"Premier League",0,"201718#"
"1827","Ryan Bertrand","eng ENG","DF","Southampton",27,"Premier League",0,"201718#"
"1828","Sofiane Boufal","ma MAR","FW,MF","Southampton",23,"Premier League",2,"201718#"
"1829","Guido Carrillo","ar ARG","FW","Southampton",26,"Premier League",0,"201718#"
"1830","Lassana Coulibaly","ml MLI","MF","Angers",21,"Ligue 1",1,"201718#"
"1831","Axel Tuanzebe","eng ENG","FW","Manchester Utd",19,"Premier League",0,"201718#"
"1832","Fraser Forster","eng ENG","GK","Southampton",29,"Premier League",0,"201718#"
"1833","Manolo Gabbiadini","it ITA","FW,MF","Southampton",25,"Premier League",5,"201718#"
"1834","Nicolas Cozza","fr FRA","DF,MF","Montpellier",18,"Ligue 1",1,"201718#"
"1835","Mario Lemina","ga GAB","MF","Southampton",23,"Premier League",1,"201718#"
"1836","Shane Long","ie IRL","FW","Southampton",30,"Premier League",2,"201718#"
"1837","Alex McCarthy","eng ENG","GK","Southampton",27,"Premier League",0,"201718#"
"1838","Sam McQueen","eng ENG","DF,FW","Southampton",22,"Premier League",0,"201718#"
"1839","Jérémy Pied","fr FRA","DF","Southampton",28,"Premier League",0,"201718#"
"1840","Nathan Redmond","eng ENG","FW,MF","Southampton",23,"Premier League",1,"201718#"
"1841","Oriol Romeu","es ESP","MF","Southampton",25,"Premier League",1,"201718#"
"1842","Josh Sims","eng ENG","FW,MF","Southampton",20,"Premier League",0,"201718#"
"1843","Cédric Soares","pt POR","DF","Southampton",25,"Premier League",0,"201718#"
"1844","Marvin Compper","de GER","DF","RB Leipzig",32,"Bundesliga",0,"201718#"
"1845","Matt Targett","eng ENG","DF","Southampton",21,"Premier League",0,"201718#"
"1846","Jordan Marié","fr FRA","MF","Dijon",25,"Ligue 1",1,"201718#"
"1847","Naldo","br BRA","DF","Schalke 04",34,"Bundesliga",7,"201718#"
"1848","Mirco Antenucci","it ITA","FW","SPAL",32,"Serie A",11,"201718#"
"1849","Federico Bonazzoli","it ITA","FW","SPAL",20,"Serie A",0,"201718#"
"1850","Marco Borriello","it ITA","FW","SPAL",35,"Serie A",1,"201718#"
"1851","Daniel Carriço","pt POR","DF","Sevilla",28,"La Liga",0,"201718#"
"1852","Filippo Costa","it ITA","DF,MF","SPAL",22,"Serie A",0,"201718#"
"1853","Steven Fortes","cv CPV","DF","Toulouse",25,"Ligue 1",0,"201718#"
"1854","Boukary Dramé","sn SEN","DF,MF","SPAL",32,"Serie A",0,"201718#"
"1855","Sergio Floccari","it ITA","FW,MF","SPAL",35,"Serie A",3,"201718#"
"1856","Alfred Gomis","sn SEN","GK","SPAL",23,"Serie A",0,"201718#"
"1857","Nicola Rigoni","it ITA","MF","Chievo",26,"Serie A",0,"201718#"
"1858","Manuel Lazzari","it ITA","DF,MF","SPAL",23,"Serie A",2,"201718#"
"1859","Everton Luiz","br BRA","MF","SPAL",29,"Serie A",0,"201718#"
"1860","Gabriele Marchegiani","it ITA","GK","SPAL",21,"Serie A",0,"201718#"
"1861","Federico Mattiello","it ITA","DF","SPAL",22,"Serie A",0,"201718#"
"1862","Alex Meret","it ITA","GK","SPAL",20,"Serie A",0,"201718#"
"1863","Pasquale Schiattarella","it ITA","MF","SPAL",30,"Serie A",1,"201718#"
"1864","Alberto Paloschi","it ITA","FW","SPAL",27,"Serie A",7,"201718#"
"1865","Emerson Hyndman","us USA","MF","Bournemouth",21,"Premier League",0,"201718#"
"1866","Jimmy Giraudon","fr FRA","DF","Troyes",25,"Ligue 1",0,"201718#"
"1867","Fabrizio Caligara","it ITA","MF","Cagliari",17,"Serie A",0,"201718#"
"1868","Vincent Sierro","ch SUI","MF,FW","Freiburg",21,"Bundesliga",0,"201718#"
"1869","Gabriele Angella","it ITA","DF","Udinese",28,"Serie A",0,"201718#"
"1870","Rúben Semedo","pt POR","DF,MF","Villarreal",23,"La Liga",0,"201718#"
"1871","Luca Rigoni","it ITA","MF,FW","Genoa",32,"Serie A",2,"201718#"
"1872","Federico Viviani","it ITA","MF","SPAL",25,"Serie A",3,"201718#"
"1873","Aleix García","es ESP","MF","Girona",20,"La Liga",1,"201718#"
"1874","Ibrahim Afellay","nl NED","MF","Stoke City",31,"Premier League",0,"201718#"
"1875","Marcel Büchel","li LIE","MF","Hellas Verona",26,"Serie A",0,"201718#"
"1876","Moritz Bauer","at AUT","DF,MF","Stoke City",25,"Premier League",0,"201718#"
"1877","Saido Berahino","bi BDI","FW","Stoke City",23,"Premier League",0,"201718#"
"1878","Jack Butland","eng ENG","GK","Stoke City",24,"Premier League",0,"201718#"
"1879","Geoff Cameron","us USA","DF,MF","Stoke City",32,"Premier League",0,"201718#"
"1880","Peter Crouch","eng ENG","FW","Stoke City",36,"Premier League",5,"201718#"
"1881","Tom Edwards","eng ENG","DF","Stoke City",18,"Premier League",0,"201718#"
"1882","Mattia Valoti","it ITA","MF,FW","Hellas Verona",23,"Serie A",3,"201718#"
"1883","Lee Grant","eng ENG","GK","Stoke City",34,"Premier League",0,"201718#"
